valeur, O(N), O(1)
22091, 0.000066, 0.000000
22291, 0.000068, 0.000001
22491, 0.000069, 0.000001
22691, 0.000069, 0.000001
22891, 0.000069, 0.000001
23091, 0.000069, 0.000001
23291, 0.000061, 0.000001
23491, 0.000054, 0.000001
23691, 0.000054, 0.000001
23891, 0.000055, 0.000001
24091, 0.000055, 0.000001
24291, 0.000055, 0.000001
24491, 0.000055, 0.000000
24691, 0.000072, 0.000000
24891, 0.000054, 0.000000
25091, 0.000059, 0.000000
25291, 0.000059, 0.000000
25491, 0.000060, 0.000001
25691, 0.000080, 0.000001
25891, 0.000061, 0.000000
26091, 0.000062, 0.000001
26291, 0.000062, 0.000001
26491, 0.000063, 0.000001
26691, 0.000063, 0.000000
26891, 0.000076, 0.000000
27091, 0.000063, 0.000000
27291, 0.000064, 0.000001
27491, 0.000064, 0.000000
27691, 0.000065, 0.000000
27891, 0.000068, 0.000001
28091, 0.000066, 0.000001
28291, 0.000061, 0.000000
28491, 0.000062, 0.000000
28691, 0.000066, 0.000001
28891, 0.000063, 0.000000
29091, 0.000069, 0.000000
29291, 0.000069, 0.000001
29491, 0.000070, 0.000001
29691, 0.000070, 0.000000
29891, 0.000071, 0.000001
30091, 0.000072, 0.000001
30291, 0.000072, 0.000001
30491, 0.000072, 0.000000
30691, 0.000073, 0.000001
30891, 0.000073, 0.000000
31091, 0.000073, 0.000000
31291, 0.000074, 0.000000
31491, 0.000074, 0.000000
31691, 0.000109, 0.000000
31891, 0.000075, 0.000000
32091, 0.000076, 0.000001
32291, 0.000076, 0.000000
32491, 0.000095, 0.000000
32691, 0.000078, 0.000001
32891, 0.000078, 0.000001
33091, 0.000079, 0.000001
33291, 0.000078, 0.000000
33491, 0.000080, 0.000001
33691, 0.000079, 0.000000
33891, 0.000080, 0.000001
34091, 0.000080, 0.000000
34291, 0.000081, 0.000001
34491, 0.000082, 0.000001
34691, 0.000082, 0.000001
34891, 0.000082, 0.000000
35091, 0.000083, 0.000000
35291, 0.000084, 0.000001
35491, 0.000084, 0.000000
35691, 0.000084, 0.000000
35891, 0.000084, 0.000000
36091, 0.000085, 0.000001
36291, 0.000086, 0.000000
36491, 0.000086, 0.000000
36691, 0.000087, 0.000001
36891, 0.000087, 0.000001
37091, 0.000087, 0.000000
37291, 0.000088, 0.000001
37491, 0.000087, 0.000000
37691, 0.000088, 0.000001
37891, 0.000081, 0.000000
38091, 0.000089, 0.000000
38291, 0.000089, 0.000000
38491, 0.000090, 0.000001
38691, 0.000191, 0.000001
38891, 0.000167, 0.000001
39091, 0.000182, 0.000001
39291, 0.000169, 0.000001
39491, 0.000487, 0.000001
39691, 0.000152, 0.000001
39891, 0.000159, 0.000001
40091, 0.000172, 0.000001
40291, 0.000255, 0.000001
40491, 0.000138, 0.000001
40691, 0.000151, 0.000000
40891, 0.000136, 0.000001
41091, 0.000477, 0.000001
41291, 0.000175, 0.000001
41491, 0.000162, 0.000000
41691, 0.000147, 0.000000
41891, 0.000190, 0.000001
42091, 0.000167, 0.000001
42291, 0.000111, 0.000001
42491, 0.000105, 0.000001
42691, 0.000106, 0.000001
42891, 0.000097, 0.000000
43091, 0.000098, 0.000001
43291, 0.000106, 0.000000
43491, 0.000098, 0.000000
43691, 0.000098, 0.000000
43891, 0.000108, 0.000000
44091, 0.000107, 0.000000
44291, 0.000100, 0.000001
44491, 0.000109, 0.000000
44691, 0.000110, 0.000001
44891, 0.000101, 0.000000
45091, 0.000111, 0.000001
45291, 0.000102, 0.000000
45491, 0.000103, 0.000000
45691, 0.000112, 0.000001
45891, 0.000113, 0.000001
46091, 0.000105, 0.000001
46291, 0.000114, 0.000001
46491, 0.000122, 0.000000
46691, 0.000106, 0.000001
46891, 0.000105, 0.000000
47091, 0.000107, 0.000001
47291, 0.000119, 0.000001
47491, 0.000123, 0.000001
47691, 0.000110, 0.000000
47891, 0.000393, 0.000001
48091, 0.000111, 0.000000
48291, 0.000111, 0.000000
48491, 0.000112, 0.000001
48691, 0.000174, 0.000000
48891, 0.000122, 0.000001
49091, 0.000113, 0.000000
49291, 0.000114, 0.000001
