'valeur', 'N', 'N/2', 'racine de N'
52291, 0.000378, 0.000195, 0.000005
52491, 0.000001, 0.000001, 0.000001
52691, 0.000464, 0.000361, 0.000003
52891, 0.000003, 0.000003, 0.000003
53091, 0.000001, 0.000000, 0.000001
53291, 0.000001, 0.000001, 0.000001
53491, 0.000003, 0.000003, 0.000002
53691, 0.000001, 0.000002, 0.000001
53891, 0.000392, 0.000205, 0.000003
54091, 0.000352, 0.000251, 0.000002
54291, 0.000001, 0.000001, 0.000000
54491, 0.000001, 0.000001, 0.000001
54691, 0.000001, 0.000001, 0.000001
54891, 0.000001, 0.000001, 0.000001
55091, 0.000002, 0.000001, 0.000001
55291, 0.000465, 0.000235, 0.000007
55491, 0.000001, 0.000001, 0.000001
55691, 0.000595, 0.000218, 0.000004
55891, 0.000001, 0.000001, 0.000001
56091, 0.000001, 0.000002, 0.000001
56291, 0.000003, 0.000002, 0.000002
56491, 0.000001, 0.000001, 0.000001
56691, 0.000001, 0.000001, 0.000001
56891, 0.000376, 0.000182, 0.000002
57091, 0.000002, 0.000001, 0.000001
57291, 0.000001, 0.000001, 0.000001
57491, 0.000001, 0.000001, 0.000001
57691, 0.000001, 0.000001, 0.000001
57891, 0.000001, 0.000000, 0.000001
58091, 0.000001, 0.000001, 0.000001
58291, 0.000001, 0.000001, 0.000001
58491, 0.000001, 0.000000, 0.000001
58691, 0.000001, 0.000001, 0.000001
58891, 0.000001, 0.000001, 0.000001
59091, 0.000000, 0.000001, 0.000000
59291, 0.000003, 0.000003, 0.000003
59491, 0.000001, 0.000001, 0.000001
59691, 0.000001, 0.000001, 0.000001
59891, 0.000001, 0.000000, 0.000001
60091, 0.000367, 0.000192, 0.000003
60291, 0.000001, 0.000001, 0.000001
60491, 0.000005, 0.000003, 0.000004
60691, 0.000002, 0.000002, 0.000005
60891, 0.000001, 0.000001, 0.000001
61091, 0.000378, 0.000189, 0.000002
61291, 0.000368, 0.000189, 0.000002
61491, 0.000001, 0.000001, 0.000001
61691, 0.000001, 0.000000, 0.000001
61891, 0.000001, 0.000001, 0.000001
62091, 0.000001, 0.000001, 0.000001
62291, 0.000002, 0.000002, 0.000002
62491, 0.000001, 0.000001, 0.000001
62691, 0.000001, 0.000000, 0.000001
62891, 0.000001, 0.000001, 0.000001
63091, 0.000001, 0.000001, 0.000001
63291, 0.000000, 0.000001, 0.000000
63491, 0.000002, 0.000002, 0.000002
63691, 0.000382, 0.000196, 0.000003
63891, 0.000001, 0.000001, 0.000001
64091, 0.000385, 0.000197, 0.000002
64291, 0.000003, 0.000003, 0.000002
64491, 0.000001, 0.000000, 0.000001
64691, 0.000001, 0.000001, 0.000001
64891, 0.000389, 0.000199, 0.000002
65091, 0.000001, 0.000001, 0.000001
65291, 0.000002, 0.000002, 0.000001
65491, 0.000002, 0.000002, 0.000002
65691, 0.000000, 0.000001, 0.000000
65891, 0.000001, 0.000001, 0.000001
66091, 0.000001, 0.000001, 0.000001
66291, 0.000001, 0.000001, 0.000001
66491, 0.000411, 0.000222, 0.000003
66691, 0.000001, 0.000001, 0.000001
66891, 0.000001, 0.000001, 0.000001
67091, 0.000001, 0.000001, 0.000001
67291, 0.000001, 0.000001, 0.000001
67491, 0.000001, 0.000001, 0.000000
67691, 0.000003, 0.000001, 0.000002
67891, 0.000448, 0.000294, 0.000003
68091, 0.000001, 0.000000, 0.000001
68291, 0.000001, 0.000002, 0.000001
68491, 0.000458, 0.000261, 0.000003
68691, 0.000001, 0.000001, 0.000001
68891, 0.000457, 0.000230, 0.000003
69091, 0.000001, 0.000001, 0.000001
69291, 0.000001, 0.000001, 0.000001
69491, 0.000487, 0.000250, 0.000004
69691, 0.000530, 0.000240, 0.000003
69891, 0.000009, 0.000001, 0.000001
70091, 0.000001, 0.000001, 0.000001
70291, 0.000001, 0.000001, 0.000001
70491, 0.000001, 0.000001, 0.000001
70691, 0.000002, 0.000003, 0.000003
70891, 0.000454, 0.000226, 0.000003
71091, 0.000001, 0.000001, 0.000001
71291, 0.000001, 0.000001, 0.000001
71491, 0.000000, 0.000001, 0.000001
71691, 0.000001, 0.000001, 0.000001
71891, 0.000001, 0.000001, 0.000001
72091, 0.000441, 0.000230, 0.000003
